"period","searchVolume"
"2019-11","0"
"2019-12","0"
"2020-01","0"
"2020-02","0"
"2020-03","0"
"2020-04","0"
"2020-05","310"
"2020-06","980"
"2020-07","660"
"2020-08","320"
"2020-09","410"
"2020-10","1180"
"2020-11","2110"
"2020-12","2680"
"2021-01","1650"
"2021-02","2330"
"2021-03","4380"
"2021-04","6940"
"2021-05","9700"
"2021-06","6480"
"2021-07","6480"
"2021-08","5900"
"2021-09","4400"
"2021-10","4760"
"2021-11","5660"
"2021-12","6230"
"2022-01","5950"
"2022-02","4700"
"2022-03","4580"
"2022-04","4510"
"2022-05","5560"
"2022-06","5940"
"2022-07","7890"
"2022-08","6150"
"2022-09","5150"
"2022-10","5830"